Replicate 1_1
  time=39.290 s | disp=196.231 mm | residual=-3.5316 N (idx 2924)

Replicate 1_5
  samples=1611 threshold=0.050 N
  time=10.050 s | disp=50.031 mm | residual=-1.8244 N (idx 0)
  time=11.390 s | disp=56.731 mm | residual=6.1819 N (idx 134)
  time=14.740 s | disp=73.482 mm | residual=9.2540 N (idx 469)
  time=15.950 s | disp=79.531 mm | residual=0.1010 N (idx 590)
  time=16.470 s | disp=82.132 mm | residual=-5.7531 N (idx 642)
  time=17.770 s | disp=88.631 mm | residual=-1.4383 N (idx 772)
  time=18.590 s | disp=92.731 mm | residual=8.1334 N (idx 854)
  time=19.690 s | disp=98.231 mm | residual=5.4600 N (idx 964)
  time=22.170 s | disp=110.631 mm | residual=-0.8485 N (idx 1212)
  time=23.170 s | disp=115.631 mm | residual=-8.1550 N (idx 1312)
  time=24.340 s | disp=121.481 mm | residual=1.1195 N (idx 1429)
  time=24.460 s | disp=122.082 mm | residual=-0.8462 N (idx 1441)
  time=26.150 s | disp=130.496 mm | residual=-8.8925 N (idx 1610)

Replicate 1_6
  samples=1796 threshold=0.050 N
  time=10.220 s | disp=50.882 mm | residual=2.3728 N (idx 17)
  time=10.620 s | disp=52.881 mm | residual=0.2467 N (idx 57)
  time=10.780 s | disp=53.681 mm | residual=-1.3108 N (idx 73)
  time=11.510 s | disp=57.331 mm | residual=-4.7124 N (idx 146)
  time=13.060 s | disp=65.081 mm | residual=-2.0282 N (idx 301)
  time=16.010 s | disp=79.831 mm | residual=-7.7426 N (idx 596)
  time=17.170 s | disp=85.631 mm | residual=3.7775 N (idx 712)
  time=19.290 s | disp=96.231 mm | residual=-1.1722 N (idx 924)
  time=19.800 s | disp=98.781 mm | residual=0.1262 N (idx 975)
  time=19.960 s | disp=99.581 mm | residual=-0.0845 N (idx 991)
  time=20.040 s | disp=99.981 mm | residual=-0.0632 N (idx 999)
  time=22.250 s | disp=111.031 mm | residual=-10.8122 N (idx 1220)
  time=26.070 s | disp=130.131 mm | residual=-6.2364 N (idx 1602)
  time=26.590 s | disp=132.731 mm | residual=0.1998 N (idx 1654)
  time=26.920 s | disp=134.381 mm | residual=-6.2925 N (idx 1687)
  time=28.000 s | disp=139.743 mm | residual=-7.6800 N (idx 1795)

Replicate 1_7
  samples=1841 threshold=0.050 N
  time=10.050 s | disp=50.031 mm | residual=-1.3333 N (idx 0)
  time=12.340 s | disp=61.481 mm | residual=-4.5167 N (idx 229)
  time=14.550 s | disp=72.531 mm | residual=-2.0422 N (idx 450)
  time=15.070 s | disp=75.131 mm | residual=1.9737 N (idx 502)
  time=15.470 s | disp=77.131 mm | residual=-1.0425 N (idx 542)
  time=16.210 s | disp=80.831 mm | residual=2.4164 N (idx 616)
  time=16.540 s | disp=82.481 mm | residual=-0.6349 N (idx 649)
  time=16.930 s | disp=84.431 mm | residual=1.4355 N (idx 688)
  time=17.210 s | disp=85.831 mm | residual=-0.4995 N (idx 716)
  time=17.610 s | disp=87.831 mm | residual=1.7945 N (idx 756)
  time=18.020 s | disp=89.882 mm | residual=-3.6554 N (idx 797)
  time=20.480 s | disp=102.181 mm | residual=1.7997 N (idx 1043)
  time=22.640 s | disp=112.981 mm | residual=-3.0408 N (idx 1259)
  time=24.400 s | disp=121.781 mm | residual=5.1446 N (idx 1435)
  time=25.510 s | disp=127.331 mm | residual=7.2479 N (idx 1546)
  time=25.960 s | disp=129.581 mm | residual=6.9916 N (idx 1591)
  time=26.710 s | disp=133.331 mm | residual=-3.9398 N (idx 1666)
  time=27.440 s | disp=136.981 mm | residual=0.6977 N (idx 1739)
  time=28.450 s | disp=141.989 mm | residual=-7.8452 N (idx 1840)

Replicate 1_8
  samples=1792 threshold=0.050 N
  time=12.330 s | disp=61.431 mm | residual=7.4279 N (idx 228)
  time=16.560 s | disp=82.581 mm | residual=6.9165 N (idx 651)
  time=22.660 s | disp=113.081 mm | residual=-2.2650 N (idx 1261)
  time=25.910 s | disp=129.331 mm | residual=-10.0003 N (idx 1586)
  time=27.960 s | disp=139.541 mm | residual=-6.4237 N (idx 1791)

Replicate 1_9
  samples=2237 threshold=0.050 N
  time=10.290 s | disp=51.231 mm | residual=0.3157 N (idx 24)
  time=14.310 s | disp=71.331 mm | residual=8.6098 N (idx 426)
  time=16.790 s | disp=83.731 mm | residual=6.8645 N (idx 674)
  time=18.440 s | disp=91.981 mm | residual=-6.1205 N (idx 839)
  time=20.240 s | disp=100.981 mm | residual=-8.8923 N (idx 1019)
  time=21.480 s | disp=107.181 mm | residual=3.2960 N (idx 1143)
  time=24.150 s | disp=120.531 mm | residual=-0.3086 N (idx 1410)
  time=24.700 s | disp=123.281 mm | residual=-0.0634 N (idx 1465)
  time=25.460 s | disp=127.081 mm | residual=-0.3949 N (idx 1541)
  time=26.450 s | disp=132.031 mm | residual=0.8646 N (idx 1640)
