"1 _ 1",,,"1 _ 2",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,21","6,801446","0,8297501","0,21","0,05372365","0,83025","0,21","0,02861023","0,830125","0,21","0,01923243","0,830125","0,21","0,04688899","0,8297501","0,21","0,04927317","0,830375","0,21","0,04577637","0,83025","0,21","0,0278155","0,830125","0,21","0,04418691","0,830125"
"0,22","7,44613","0,88025","0,22","0,05928675","0,88025","0,22","0,03433228","0,88025","0,22","0,03019969","0,88025","0,22","0,05165736","0,88025","0,22","0,05404155","0,880375","0,22","0,05451838","0,88025","0,22","0,03019969","0,880125","0,22","0,05022685","0,880125"
"0,23","8,0568","0,93025","0,23","0,06278356","0,930375","0,23","0,03576279","0,9305","0,23","0,03306071","0,93025","0,23","0,05801519","0,930375","0,23","0,05928675","0,930375","0,23","0,06055832","0,930375","0,23","0,02113978","0,930375","0,23","0,05610784","0,9305"
"0,24","8,621057","0,9802501","0,24","0,0629425","0,980625","0,24","0,0354449","0,9805","0,24","0,03194809","0,9803751","0,24","0,05578995","0,9805","0,24","0,0632604","0,9805","0,24","0,0632604","0,98075","0,24","0,01033147","0,9805","0,24","0,05928675","0,9808751"
"0,25","9,141763","1,030375","0,25","0,0667572","1,03075","0,25","0,04259745","1,030625","0,25","0,03735225","1,03075","0,25","0,0576973","1,0305","0,25","0,06993612","1,03075","0,25","0,06755193","1,030875","0,25","0,01271566","1,030625","0,25","0,06214778","1,03075"
"0,26","9,621461","1,08075","0,26","0,07168452","1,08075","0,26","0,04577637","1,08075","0,26","0,04291534","1,08075","0,26","0,06532669","1,08075","0,26","0,07883707","1,08075","0,26","0,07088979","1,080625","0,26","0,01509984","1,0805","0,26","0,06437302","1,0805"
"0,27","10,05475","1,13075","0,27","0,07247925","1,130625","0,27","0,04339218","1,130875","0,27","0,04736583","1,130625","0,27","0,06516775","1,13075","0,27","0,08392334","1,13075","0,27","0,07200241","1,130875","0,27","0,00333786","1,130875","0,27","0,06484985","1,130875"
"0,28","10,44242","1,180625","0,28","0,07279714","1,181","0,28","0,04545848","1,181","0,28","0,05642573","1,180625","0,28","0,06516775","1,180625","0,28","0,08757909","1,18075","0,28","0,07518133","1,18125","0,28","-0,007311503","1,180875","0,28","0,06755193","1,181"
"0,29","10,7921","1,23075","0,29","0,07565816","1,231","0,29","0,04736583","1,230875","0,29","0,06373724","1,231","0,29","0,07200241","1,23075","0,29","0,09425481","1,231125","0,29","0,08201599","1,231125","0,29","-0,0006357829","1,230875","0,29","0,07311503","1,231"
"0,3","11,10442","1,281","0,3","0,07708868","1,280875","0,3","0,04577637","1,281","0,3","0,06850561","1,281","0,3","0,07152557","1,281","0,3","0,1010895","1,281","0,3","0,08789698","1,281","0,3","0,01271566","1,280875","0,3","0,07708868","1,280875"
"0,31","11,38147","1,330875","0,31","0,07724762","1,330875","0,31","0,04736583","1,331125","0,31","0,07470449","1,33075","0,31","0,06882349","1,331","0,31","0,1066526","1,330875","0,31","0,09314219","1,331125","0,31","0,02145767","1,331125","0,31","0,08026759","1,331"
"0,32","11,63197","1,38075","0,32","0,0834465","1,381125","0,32","0,04943212","1,381","0,32","0,07645289","1,380875","0,32","0,07629395","1,38075","0,32","0,1138051","1,381","0,32","0,1006126","1,38125","0,32","0,03226598","1,381125","0,32","0,08821487","1,381375"
"0,33","11,86291","1,430875","0,33","0,09139379","1,431125","0,33","0,05022685","1,431125","0,33","0,07708868","1,431125","0,33","0,08265177","1,43075","0,33","0,1212756","1,431125","0,33","0,1072884","1,43125","0,33","0,04227956","1,431","0,33","0,09775162","1,431125"
"0,34","12,07844","1,481125","0,34","0,09425481","1,481","0,34","0,05451838","1,481","0,34","0,08153915","1,481125","0,34","0,0834465","1,481125","0,34","0,1257261","1,48125","0,34","0,111421","1,481","0,34","0,04148483","1,481","0,34","0,1017253","1,481"
"0,35","12,28539","1,531","0,35","0,09552637","1,530875","0,35","0,05896886","1,531125","0,35","0,08503596","1,530875","0,35","0,08821487","1,531125","0,35","0,1306534","1,531","0,35","0,1192093","1,531125","0,35","0,03385544","1,531375","0,35","0,1026789","1,53125"
"0,36","12,48837","1,580875","0,36","0,09854635","1,58125","0,36","0,06087621","1,58125","0,36","0,08837382","1,581","0,36","0,09393692","1,580875","0,36","0,1387596","1,581125","0,36","0,1284281","1,58125","0,36","0,02717972","1,581375","0,36","0,1066526","1,58125"
"0,37","12,68673","1,631","0,37","0,09950002","1,631125","0,37","0,06532669","1,631125","0,37","0,09616216","1,631125","0,37","0,09854635","1,631","0,37","0,1457532","1,63125","0,37","0,134627","1,63125","0,37","0,01684825","1,63125","0,37","0,1122157","1,63125"
"0,38","12,88541","1,681125","0,38","0,1017253","1,681125","0,38","0,07073084","1,681125","0,38","0,09934107","1,681","0,38","0,1080831","1,681125","0,38","0,1506805","1,681375","0,38","0,1401901","1,681125","0,38","0,004927317","1,681125","0,38","0,1152356","1,681"
"0,39","13,09077","1,731125","0,39","0,1080831","1,731125","0,39","0,07311503","1,731375","0,39","0,09870529","1,731","0,39","0,1180967","1,73125","0,39","0,1576741","1,73125","0,39","0,1486142","1,73125","0,39","0,0007947286","1,731375","0,39","0,1173019","1,73125"
"0,4","13,29565","1,781125","0,4","0,1152356","1,78125","0,4","0,07677078","1,78125","0,4","0,1029968","1,781","0,4","0,1252492","1,781125","0,4","0,1657804","1,781375","0,4","0,1565615","1,781375","0,4","0,00333786","1,781375","0,4","0,1215935","1,781375"
"0,41","13,48829","1,831125","0,41","0,120163","1,83125","0,41","0,07963181","1,831125","0,41","0,1056989","1,831125","0,41","0,1363754","1,831125","0,41","0,1732508","1,831375","0,41","0,1632373","1,83125","0,41","0,008106232","1,83125","0,41","0,128746","1,83125"
"0,42","13,66933","1,88125","0,42","0,1252492","1,881125","0,42","0,07963181","1,881","0,42","0,1050631","1,881125","0,42","0,1475016","1,881375","0,42","0,1811981","1,881375","0,42","0,1721382","1,88125","0,42","0,01955032","1,88125","0,42","0,1378059","1,881125"
"0,43","13,84242","1,93125","0,43","0,1324018","1,93125","0,43","0,08471807","1,93125","0,43","0,1149178","1,931","0,43","0,1546542","1,931375","0,43","0,1907349","1,93125","0,43","0,1807213","1,931375","0,43","0,0333786","1,931375","0,43","0,1438459","1,93125"
"0,44","14,00248","1,981125","0,44","0,1401901","1,981375","0,44","0,09028117","1,98125","0,44","0,1276334","1,981125","0,44","0,1648267","1,98125","0,44","0,199","1,9815","0,44","0,1867612","1,981375","0,44","0,03910065","1,981375","0,44","0,1481374","1,981375"
"0,45","14,14458","2,03125","0,45","0,1490911","2,031375","0,45","0,09028117","2,031125","0,45","0,1322428","2,03125","0,45","0,1735687","2,03125","0,45","0,2055168","2,031375","0,45","0,1947085","2,031375","0,45","0,03751119","2,031375","0,45","0,1554489","2,03125"
"0,46","14,27253","2,081375","0,46","0,1602173","2,081375","0,46","0,0945727","2,081125","0,46","0,1390775","2,08125","0,46","0,1759529","2,0815","0,46","0,2129873","2,0815","0,46","0,2047221","2,081125","0,46","0,03735225","2,081125","0,46","0,1657804","2,081125"
"0,47","14,38936","2,13125","0,47","0,1688004","2,13125","0,47","0,1026789","2,13125","0,47","0,149409","2,131125","0,47","0,1796087","2,131375","0,47","0,2214114","2,1315","0,47","0,2129873","2,131375","0,47","0,03862381","2,131375","0,47","0,1729329","2,1315"
"0,48","14,50014","2,181125","0,48","0,1735687","2,1815","0,48","0,1042684","2,18125","0,48","0,1557668","2,181","0,48","0,1835823","2,18125","0,48","0,2309481","2,181375","0,48","0,2214114","2,181375","0,48","0,03814697","2,181375","0,48","0,1761119","2,181375"
"0,49","14,61681","2,23125","0,49","0,1796087","2,231375","0,49","0,1064936","2,231","0,49","0,1684825","2,231375","0,49","0,1848539","2,23125","0,49","0,2419154","2,2315","0,49","0,234127","2,23125","0,49","0,03465017","2,23125","0,49","0,181675","2,2315"
"0,5","14,74794","2,281375","0,5","0,1883507","2,28125","0,5","0,1144409","2,281125","0,5","0,1867612","2,28125","0,5","0,1920064","2,281375","0,5","0,2530416","2,2815","0,5","0,2471606","2,28125","0,5","0,0278155","2,281125","0,5","0,1907349","2,28125"
"0,51","14,89131","2,33125","0,51","0,1975695","2,331375","0,51","0,116984","2,33125","0,51","0,196298","2,331125","0,51","0,2029737","2,33125","0,51","0,2636909","2,331375","0,51","0,2562205","2,33125","0,51","0,02066294","2,331375","0,51","0,1997948","2,331375"
"0,52","15,04135","2,38125","0,52","0,2066294","2,3815","0,52","0,1185735","2,38125","0,52","0,2037684","2,38125","0,52","0,2093315","2,38125","0,52","0,2749761","2,3815","0,52","0,2644857","2,381375","0,52","0,02034505","2,3815","0,52","0,2063115","2,3815"
"0,53","15,19775","2,431125","0,53","0,2158483","2,4315","0,53","0,1282692","2,43125","0,53","0,2164841","2,431375","0,53","0,2193451","2,431125","0,53","0,2867381","2,4315","0,53","0,2737045","2,431375","0,53","0,02702077","2,431375","0,53","0,213782","2,431375"
"0,54","15,35813","2,481375","0,54","0,2241135","2,481375","0,54","0,1330376","2,481125","0,54","0,2233187","2,48125","0,54","0,2347628","2,481375","0,54","0,2972285","2,4815","0,54","0,2819697","2,481125","0,54","0,03194809","2,481","0,54","0,2230008","2,48125"
"0,55","15,51835","2,53125","0,55","0,2315839","2,531375","0,55","0,1324018","2,531375","0,55","0,2261798","2,53125","0,55","0,2442996","2,531375","0,55","0,3070831","2,531375","0,55","0,2895991","2,53125","0,55","0,03385544","2,531375","0,55","0,2325376","2,5315"
"0,56","15,67634","2,581","0,56","0,2395312","2,5815","0,56","0,1390775","2,581375","0,56","0,237147","2,58125","0,56","0,2530416","2,581125","0,56","0,3190041","2,5815","0,56","0,2983411","2,581375","0,56","0,03910065","2,581375","0,56","0,2408028","2,5815"
"0,57","15,83115","2,631","0,57","0,2474785","2,6315","0,57","0,1451174","2,631125","0,57","0,2484322","2,6315","0,57","0,2657572","2,631125","0,57","0,3325144","2,6315","0,57","0,30756","2,631375","0,57","0,04657109","2,63125","0,57","0,2492269","2,6315"
"0,58","15,98247","2,68125","0,58","0,2539953","2,681375","0,58","0,1457532","2,681375","0,58","0,2582868","2,68125","0,58","0,2733866","2,681375","0,58","0,3444354","2,6815","0,58","0,3155073","2,681125","0,58","0,04847844","2,681125","0,58","0,2601942","2,681125"
"0,59","16,13331","2,73125","0,59","0,260671","2,731375","0,59","0,1506805","2,731375","0,59","0,2748171","2,731125","0,59","0,2797445","2,731375","0,59","0,3552437","2,731375","0,59","0,3240903","2,731125","0,59","0,04816055","2,731375","0,59","0,272433","2,731375"
"0,6","16,28383","2,781125","0,6","0,2676646","2,781375","0,6","0,1578331","2,78125","0,6","0,2911886","2,781125","0,6","0,2930959","2,78125","0,6","0,3678004","2,78125","0,6","0,3333092","2,781375","0,6","0,05261103","2,78125","0,6","0,2827644","2,7815"
"0,61","16,42958","2,831","0,61","0,2733866","2,831375","0,61","0,1621246","2,831125","0,61","0,3059705","2,831375","0,61","0,3027916","2,831","0,61","0,3817876","2,831625","0,61","0,3436407","2,83125","0,61","0,05324681","2,831125","0,61","0,2883275","2,831375"
"0,62","16,56866","2,88125","0,62","0,2800623","2,881125","0,62","0,1703898","2,881125","0,62","0,3272692","2,881375","0,62","0,3083547","2,881375","0,62","0,3964106","2,8815","0,62","0,3558795","2,881125","0,62","0,04291534","2,881125","0,62","0,2924601","2,881125"
"0,63","16,70361","2,931125","0,63","0,2892812","2,931125","0,63","0,1796087","2,931375","0,63","0,3457069","2,931125","0,63","0,3186862","2,93125","0,63","0,4119873","2,93125","0,63","0,3685951","2,93125","0,63","0,0354449","2,931375","0,63","0,2999306","2,931375"
"0,64","16,83664","2,981125","0,64","0,3007253","2,981375","0,64","0,1839002","2,981375","0,64","0,3568331","2,981125","0,64","0,328064","2,981125","0,64","0,4294713","2,981375","0,64","0,3797213","2,98125","0,64","0,04021327","2,98125","0,64","0,3083547","2,9815"
"0,65","16,96587","3,031","0,65","0,3134409","3,031375","0,65","0,190417","3,03125","0,65","0,3711382","3,031375","0,65","0,3329913","3,031","0,65","0,4469554","3,031625","0,65","0,389576","3,03125","0,65","0,04418691","3,031125","0,65","0,3169378","3,031375"
"0,66","17,09127","3,08125","0,66","0,3301302","3,08125","0,66","0,1983643","3,08125","0,66","0,3871918","3,081375","0,66","0,3423691","3,081125","0,66","0,4639626","3,081625","0,66","0,401179","3,081","0,66","0,04418691","3,08125","0,66","0,3293355","3,081125"
