"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,,"1 _ 11",,,"1 _ 12",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,15","0,03226598","0,52825","0,15","0,03592173","0,52825","0,15","0,05149841","0,528125","0,15","0,04148483","0,52825","0,15","0,05054474","0,52825","0,15","0,05658467","0,52825","0,15","0,0354449","0,52825","0,15","0,06723404","0,52825","0,15","0,05706151","0,528375","0,15","0,03560384","0,52825","0,15","0,04704793","0,52825","0,15","0,04704793","0,52825"
"0,16","0,01605352","0,57875","0,16","0,0243187","0,57875","0,16","0,03671646","0,578875","0,16","0,02511342","0,57875","0,16","0,03862381","0,57875","0,16","0,04037221","0,57875","0,16","0,020504","0,57875","0,16","0,05817413","0,57875","0,16","0,04593531","0,57875","0,16","0,02002716","0,57875","0,16","0,0240008","0,578875","0,16","0,03623962","0,578875"
"0,17","0,007629395","0,6291251","0,17","0,01811981","0,6291251","0,17","0,03004074","0,6291251","0,17","0,01017253","0,6291251","0,17","0,035127","0,6291251","0,17","0,03751119","0,6291251","0,17","0,01573563","0,6291251","0,17","0,0538826","0,629","0,17","0,04037221","0,629","0,17","0,009377797","0,6291251","0,17","0,008106232","0,6291251","0,17","0,03480911","0,6291251"
"0,18","0,00890096","0,6792501","0,18","0,01923243","0,6792501","0,18","0,03401439","0,6792501","0,18","0,00778834","0,6793751","0,18","0,03957748","0,6792501","0,18","0,04355113","0,6792501","0,18","0,02129873","0,6792501","0,18","0,06182988","0,6792501","0,18","0,04577637","0,6795","0,18","0,009218852","0,6793751","0,18","0,008424123","0,6792501","0,18","0,0371933","0,6792501"
"0,19","0,01207987","0,7295001","0,19","0,0243187","0,7295001","0,19","0,041008","0,7295001","0,19","0,01716614","0,7293751","0,19","0,0483195","0,7293751","0,19","0,05308787","0,7295001","0,19","0,02876917","0,7295001","0,19","0,07518133","0,7295001","0,19","0,05626678","0,729625","0,19","0,01716614","0,7295001","0,19","0,009218852","0,7295001","0,19","0,03957748","0,7295001"
"0,2","0,009218852","0,78","0,2","0,02161662","0,78","0,2","0,04021327","0,78","0,2","0,02113978","0,78","0,2","0,05578995","0,779875","0,2","0,05896886","0,78","0,2","0,02797445","0,78","0,2","0,08090337","0,779875","0,2","0,05817413","0,77975","0,2","0,02241135","0,78","0,2","-0,003973643","0,779875","0,2","0,04021327","0,78"
"0,21","0,006993612","0,83","0,21","0,01605352","0,83","0,21","0,03910065","0,83","0,21","0,0184377","0,830125","0,21","0,06103516","0,830125","0,21","0,05817413","0,830125","0,21","0,02447764","0,830125","0,21","0,08996328","0,83","0,21","0,06008148","0,83","0,21","0,02352397","0,83","0,21","-0,009536743","0,830125","0,21","0,04180272","0,830125"
"0,22","0,01096725","0,8800001","0,22","0,01716614","0,8800001","0,22","0,04657109","0,880125","0,22","0,02209345","0,880125","0,22","0,06723404","0,880125","0,22","0,06103516","0,880125","0,22","0,0260671","0,8800001","0,22","0,1026789","0,8800001","0,22","0,06739298","0,88025","0,22","0,0243187","0,8800001","0,22","0,003655751","0,8800001","0,22","0,04577637","0,880125"
"0,23","0,01319249","0,930375","0,23","0,02002716","0,93025","0,23","0,05372365","0,93025","0,23","0,0295639","0,93025","0,23","0,07216135","0,93025","0,23","0,06659826","0,93025","0,23","0,02845128","0,93025","0,23","0,1085599","0,93025","0,23","0,07088979","0,930375","0,23","0,02590815","0,93025","0,23","0,01716614","0,93025","0,23","0,04863739","0,93025"
"0,24","0,01160304","0,980625","0,24","0,02034505","0,9805","0,24","0,05531311","0,9805","0,24","0,03242493","0,9805","0,24","0,07851919","0,980625","0,24","0,06421407","0,9805","0,24","0,0295639","0,9805","0,24","0,1153946","0,9805","0,24","0,07518133","0,9803751","0,24","0,02686183","0,9805","0,24","0,02320608","0,980625","0,24","0,05229314","0,9805"
