"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,,"1 _ 11",,,"1 _ 12",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,15","0,02638499","0,52825","0,15","0,03019969","0,52825","0,15","0,03178914","0,52825","0,15","0,03782908","0,528375","0,15","0,03035863","0,52825","0,15","0,03099442","0,52825","0,15","0,03019969","0,52825","0,15","0,03385544","0,52825","0,15","0,04927317","0,5285","0,15","0,04895528","0,52825","0,15","0,02908707","0,52825","0,15","0,03019969","0,52825"
"0,16","0,01001358","0,57875","0,16","0,01319249","0,578625","0,16","0,01589457","0,57875","0,16","0,02384186","0,578625","0,16","0,01478195","0,57875","0,16","0,01446406","0,57875","0,16","0,01525879","0,578625","0,16","0,02002716","0,57875","0,16","0,03274282","0,578875","0,16","0,0298818","0,5785","0,16","0,01192093","0,57875","0,16","0,01637141","0,5785"
"0,17","-0,0006357829","0,629","0,17","0,00445048","0,629","0,17","0,008424123","0,629","0,17","0,01557668","0,6291251","0,17","0,0055631","0,6291251","0,17","0,004927317","0,629","0,17","0,007947286","0,629","0,17","0,01366933","0,6291251","0,17","0,02272924","0,62925","0,17","0,02034505","0,628875","0,17","0,004768372","0,629","0,17","0,007152557","0,629"
"0,18","-0,002543132","0,6793751","0,18","0,007152557","0,6793751","0,18","0,007629395","0,6792501","0,18","0,0166893","0,6793751","0,18","0,006516775","0,6792501","0,18","0,004132589","0,6793751","0,18","0,00890096","0,6793751","0,18","0,01478195","0,6793751","0,18","0,0243187","0,6795","0,18","0,01923243","0,6792501","0,18","0,006516775","0,6793751","0,18","0,004768372","0,6793751"
"0,19","0,002066294","0,7295001","0,19","0,01351039","0,7295001","0,19","0,01160304","0,7295001","0,19","0,02193451","0,7295001","0,19","0,01160304","0,7295001","0,19","0,007311503","0,7295001","0,19","0,01271566","0,7295001","0,19","0,01907349","0,7295001","0,19","0,03194809","0,729875","0,19","0,02241135","0,7293751","0,19","0,0111262","0,7295001","0,19","0,008742015","0,7293751"
"0,2","0,003655751","0,779875","0,2","0,01080831","0,779875","0,2","0,01160304","0,77975","0,2","0,02113978","0,779875","0,2","0,01049042","0,779875","0,2","0,003178914","0,779875","0,2","0,009695689","0,779875","0,2","0,01796087","0,779875","0,2","0,03576279","0,780125","0,2","0,02113978","0,7796251","0,2","0,01049042","0,779875","0,2","0,007629395","0,77975"
"0,21","0,002543132","0,83","0,21","0,007311503","0,830125","0,21","0,01001358","0,8298751","0,21","0,01716614","0,83","0,21","0,009695689","0,83","0,21","-0,001907349","0,83","0,21","0,006357829","0,830125","0,21","0,01430511","0,83","0,21","0,03751119","0,83025","0,21","0,01764297","0,8298751","0,21","0,008424123","0,830125","0,21","0,002543132","0,83"
"0,22","0,004132589","0,88025","0,22","0,01160304","0,88025","0,22","0,01207987","0,8800001","0,22","0,01796087","0,88025","0,22","0,01589457","0,88025","0,22","0,001271566","0,880125","0,22","0,009695689","0,88025","0,22","0,0166893","0,88025","0,22","0,04339218","0,88025","0,22","0,01923243","0,880125","0,22","0,01001358","0,880125","0,22","0,003973643","0,8800001"
"0,23","0,004132589","0,930375","0,23","0,01351039","0,930375","0,23","0,01351039","0,93025","0,23","0,01986822","0,930375","0,23","0,02113978","0,930375","0,23","0,004927317","0,93025","0,23","0,01271566","0,930375","0,23","0,02066294","0,930375","0,23","0,04847844","0,930375","0,23","0,02161662","0,93025","0,23","0,01049042","0,930375","0,23","0,007947286","0,9301251"
"0,24","0,00333786","0,9805","0,24","0,007152557","0,9805","0,24","0,01033147","0,9805","0,24","0,01875559","0,9805","0,24","0,02002716","0,9805","0,24","0,002384186","0,9805","0,24","0,01160304","0,9805","0,24","0,02066294","0,9805","0,24","0,05086263","0,98075","0,24","0,02145767","0,9802501","0,24","0,007629395","0,9805","0,24","0,006039937","0,9802501"
"0,25","0,007311503","1,030625","0,25","0,004927317","1,0305","0,25","0,00890096","1,030375","0,25","0,01827876","1,030625","0,25","0,01955032","1,0305","0,25","0,001589457","1,030625","0,25","0,01319249","1,030625","0,25","0,02193451","1,0305","0,25","0,05420049","1,030875","0,25","0,02272924","1,030375","0,25","0,008742015","1,030625","0,25","0,006516775","1,0305"
"0,26","0,01271566","1,080625","0,26","0,009536743","1,080625","0,26","0,01160304","1,080625","0,26","0,01796087","1,080625","0,26","0,02002716","1,08075","0,26","0,003973643","1,080625","0,26","0,01525879","1,080625","0,26","0,02622604","1,080625","0,26","0,06008148","1,080875","0,26","0,02670288","1,080625","0,26","0,01128515","1,080625","0,26","0,01271566","1,080625"
"0,27","0,0128746","1,130625","0,27","0,01049042","1,130625","0,27","0,01080831","1,1305","0,27","0,01589457","1,13075","0,27","0,01764297","1,130625","0,27","0,00333786","1,130625","0,27","0,01160304","1,13075","0,27","0,02702077","1,13075","0,27","0,06373724","1,130875","0,27","0,02749761","1,130625","0,27","0,008424123","1,130625","0,27","0,01478195","1,1305"
"0,28","0,01160304","1,180875","0,28","0,007629395","1,180875","0,28","0,008106232","1,180875","0,28","0,0166893","1,18075","0,28","0,01748403","1,180875","0,28","0,001271566","1,180875","0,28","0,008424123","1,180875","0,28","0,02511342","1,18075","0,28","0,06643931","1,181","0,28","0,02670288","1,180625","0,28","0,0055631","1,180875","0,28","0,0128746","1,18075"
"0,29","0,01366933","1,230875","0,29","0,006834666","1,230875","0,29","0,009536743","1,23075","0,29","0,02113978","1,230875","0,29","0,02320608","1,230875","0,29","0,002066294","1,230875","0,29","0,0111262","1,230875","0,29","0,02559026","1,230875","0,29","0,07200241","1,231","0,29","0,0278155","1,23075","0,29","0,008424123","1,23075","0,29","0,01271566","1,23075"
"0,3","0,01446406","1,280875","0,3","0,007152557","1,280875","0,3","0,0111262","1,280875","0,3","0,02161662","1,280875","0,3","0,02638499","1,280875","0,3","0,002384186","1,280875","0,3","0,01366933","1,280875","0,3","0,02702077","1,280875","0,3","0,0778834","1,280875","0,3","0,02829234","1,28075","0,3","0,01128515","1,280875","0,3","0,01128515","1,280875"
"0,31","0,01128515","1,330875","0,31","0,006516775","1,330875","0,31","0,008424123","1,331","0,31","0,01827876","1,330875","0,31","0,02511342","1,330875","0,31","0,0009536743","1,330875","0,31","0,01430511","1,330875","0,31","0,02638499","1,330875","0,31","0,08392334","1,331","0,31","0,0278155","1,330875","0,31","0,01049042","1,330875","0,31","0,008742015","1,33075"
"0,32","0,01033147","1,380875","0,32","0,007629395","1,381","0,32","0,007311503","1,381","0,32","0,01955032","1,381","0,32","0,02622604","1,381","0,32","0,002066294","1,381","0,32","0,01764297","1,381","0,32","0,02702077","1,381","0,32","0,09266535","1,381","0,32","0,03019969","1,380875","0,32","0,0111262","1,380875","0,32","0,01001358","1,380875"
"0,33","0,01192093","1,430875","0,33","0,007311503","1,430875","0,33","0,01033147","1,431","0,33","0,02463659","1,431","0,33","0,02876917","1,431","0,33","0,002066294","1,431","0,33","0,02082189","1,431","0,33","0,02876917","1,431","0,33","0,1010895","1,43125","0,33","0,03258387","1,430875","0,33","0,01160304","1,431","0,33","0,01319249","1,431"
