"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,,"1 _ 11",,,"1 _ 12",,,"1 _ 13",,,"1 _ 14",,,"1 _ 15",,,"1 _ 16",,,"1 _ 17",,,"1 _ 18",,,"1 _ 19",,,"1 _ 20",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,08","0,3967285","0,17925","0,08","0,4541079","0,1795","0,08","0,2848307","0,17925","0,08","0,2374649","0,179375","0,08","0,2888044","0,179375","0,08","0,245889","0,17925","0,08","0,2824465","0,179125","0,08","0,2692541","0,17925","0,08","0,09473165","0,17925","0,08","0,09759267","0,179125","0,08","0,1618067","0,17925","0,08","0,1252492","0,179375","0,08","0,3105799","0,17925","0,08","0,07836024","0,179375","0,08","0,1765887","0,17925","0,08","0,1721382","0,17925","0,08","0,126044","0,179125","0,08","0,09552637","0,179","0,08","0,08757909","0,179125","0,08","0,0816981","0,179"
"0,09","0,3987948","0,225125","0,09","0,4498164","0,225375","0,09","0,2787908","0,22525","0,09","0,219663","0,225375","0,09","0,2795855","0,22525","0,09","0,2358754","0,22525","0,09","0,2768835","0,225125","0,09","0,2600352","0,225375","0,09","0,08042654","0,22525","0,09","0,08201599","0,22525","0,09","0,1476606","0,225125","0,09","0,1098315","0,225375","0,09","0,2999306","0,225375","0,09","0,06659826","0,22525","0,09","0,1641909","0,225375","0,09","0,1586278","0,225375","0,09","0,1103083","0,22525","0,09","0,07804235","0,225125","0,09","0,07120768","0,22525","0,09","0,06087621","0,225125"
"0,1","0,4269282","0,275375","0,1","0,4688899","0,2755","0,1","0,2943675","0,275375","0,1","0,2263387","0,275625","0,1","0,2942085","0,2755","0,1","0,245889","0,2755","0,1","0,2934138","0,2755","0,1","0,2756119","0,2755","0,1","0,09393692","0,2755","0,1","0,09361903","0,2755","0,1","0,1564026","0,275375","0,1","0,1204809","0,275375","0,1","0,3158251","0,275625","0,1","0,08328756","0,27525","0,1","0,1738866","0,2755","0,1","0,1707077","0,275625","0,1","0,120163","0,2755","0,1","0,08519491","0,27525","0,1","0,08281072","0,27525","0,1","0,07168452","0,27525"
"0,11","0,4816055","0,326375","0,11","0,5125999","0,326375","0,11","0,3347397","0,3265","0,11","0,2671877","0,3265","0,11","0,3355344","0,326375","0,11","0,2832413","0,326375","0,11","0,3372828","0,326375","0,11","0,3182093","0,3265","0,11","0,1336734","0,32625","0,11","0,1381238","0,326375","0,11","0,1924833","0,326375","0,11","0,1583099","0,32625","0,11","0,3638268","0,3265","0,11","0,1300176","0,32625","0,11","0,2142588","0,326375","0,11","0,2150536","0,326375","0,11","0,1614888","0,326375","0,11","0,1254082","0,32625","0,11","0,1276334","0,326375","0,11","0,1185735","0,32625"
"0,12","0,5208651","0,377","0,12","0,5372365","0,377","0,12","0,3622373","0,377","0,12","0,2910296","0,37675","0,12","0,3569921","0,377","0,12","0,3069242","0,376875","0,12","0,3670057","0,376875","0,12","0,3482501","0,377","0,12","0,1516342","0,37675","0,12","0,161171","0,376875","0,12","0,213623","0,377","0,12","0,178655","0,377125","0,12","0,3940264","0,376875","0,12","0,1511574","0,377125","0,12","0,240167","0,377","0,12","0,2398491","0,376875","0,12","0,184536","0,377","0,12","0,14925","0,376875","0,12","0,1514753","0,377","0,12","0,1524289","0,376875"
"0,13","0,5200704","0,4275","0,13","0,5164146","0,427875","0,13","0,3471375","0,427375","0,13","0,2624194","0,427625","0,13","0,3315608","0,427625","0,13","0,2859434","0,42775","0,13","0,3507932","0,427625","0,13","0,3331502","0,4275","0,13","0,1222293","0,427625","0,13","0,1296997","0,427625","0,13","0,1913707","0,4275","0,13","0,15227","0,427625","0,13","0,3720919","0,427625","0,13","0,1238187","0,4275","0,13","0,2152125","0,427625","0,13","0,2112389","0,4275","0,13","0,1579921","0,427625","0,13","0,1204809","0,42725","0,13","0,1204809","0,427375","0,13","0,1368523","0,427375"
"0,14","0,5046527","0,477875","0,14","0,4814466","0,47825","0,14","0,3137589","0,478","0,14","0,2126694","0,47825","0,14","0,2938906","0,478125","0,14","0,2441406","0,478125","0,14","0,3180504","0,478","0,14","0,2950033","0,478","0,14","0,07534027","0,478","0,14","0,07772446","0,478125","0,14","0,1500448","0,478","0,14","0,105381","0,477875","0,14","0,330925","0,47825","0,14","0,08392334","0,47775","0,14","0,1686414","0,478125","0,14","0,1646678","0,47825","0,14","0,1133283","0,478","0,14","0,06882349","0,478","0,14","0,06612142","0,478","0,14","0,09520849","0,478"
"0,15","0,5021095","0,5285","0,15","0,4647573","0,528375","0,15","0,2962748","0,5285","0,15","0,1805623","0,528375","0,15","0,275135","0,5285","0,15","0,216802","0,528375","0,15","0,3058116","0,5285","0,15","0,2740224","0,528625","0,15","0,04418691","0,528375","0,15","0,04418691","0,5285","0,15","0,1209577","0,528625","0,15","0,07279714","0,528375","0,15","0,3093084","0,5285","0,15","0,06087621","0,5285","0,15","0,1397133","0,528375","0,15","0,1395543","0,5285","0,15","0,08360545","0,5285","0,15","0,03385544","0,528375","0,15","0,02924601","0,5285","0,15","0,06214778","0,528375"
"0,16","0,5145073","0,57875","0,16","0,4639626","0,5790001","0,16","0,2978643","0,57875","0,16","0,1667341","0,57875","0,16","0,2660751","0,578875","0,16","0,2086957","0,578875","0,16","0,3097852","0,57875","0,16","0,2748171","0,578875","0,16","0,02797445","0,57875","0,16","0,02829234","0,57875","0,16","0,1066526","0,578875","0,16","0,05737941","0,578875","0,16","0,3026327","0,57875","0,16","0,05149841","0,578875","0,16","0,1281102","0,578875","0,16","0,1328786","0,578625","0,16","0,06850561","0,57875","0,16","0,01796087","0,57875","0,16","0,01207987","0,57875","0,16","0,04021327","0,57875"
"0,17","0,5410512","0,629","0,17","0,4711151","0,629375","0,17","0,3102621","0,629","0,17","0,161171","0,62925","0,17","0,2592405","0,62925","0,17","0,2112389","0,629375","0,17","0,3197988","0,6291251","0,17","0,2856255","0,6291251","0,17","0,02082189","0,62925","0,17","0,02129873","0,6291251","0,17","0,1018842","0,6291251","0,17","0,0518163","0,62925","0,17","0,3037453","0,62925","0,17","0,05102158","0,6291251","0,17","0,1252492","0,629375","0,17","0,1339912","0,62925","0,17","0,0629425","0,62925","0,17","0,01017253","0,629","0,17","0,00445048","0,629","0,17","0,02129873","0,629"
