"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,21","0,005404154","0,83","0,21","0,00222524","0,83","0,21","-0,004291534","0,830125","0,21","0,0009536743","0,83","0,21","0,0009536743","0,83","0,21","0,0004768372","0,83","0,21","-0,00111262","0,830125","0,21","-0,0007947286","0,830125","0,21","0,0009536743","0,83"
"0,22","0,00778834","0,880125","0,22","0,003019969","0,880125","0,22","-0,0003178914","0,880125","0,22","0,001748403","0,88025","0,22","0,0006357829","0,880125","0,22","-0,0003178914","0,880125","0,22","0,0004768372","0,880125","0,22","0,001271566","0,880125","0,22","0,0001589457","0,880125"
"0,23","0,007629395","0,930375","0,23","0,002066294","0,93025","0,23","0,0001589457","0,930375","0,23","0,001430511","0,930375","0,23","0,0004768372","0,93025","0,23","-0,001907349","0,930375","0,23","0,00222524","0,930375","0,23","0,00333786","0,93025","0,23","-0,001430511","0,930375"
"0,24","0,00890096","0,9805","0,24","0,002066294","0,9805","0,24","0,0001589457","0,9803751","0,24","0,0009536743","0,9805","0,24","0,003019969","0,9805","0,24","0,0009536743","0,9805","0,24","0,001748403","0,9805","0,24","0,004132589","0,9805","0,24","-0,003496806","0,9805"
"0,25","0,01160304","1,0305","0,25","0,00222524","1,0305","0,25","0,00333786","1,0305","0,25","0,002543132","1,030375","0,25","0,005245209","1,0305","0,25","0,003019969","1,0305","0,25","0,001430511","1,0305","0,25","0,005245209","1,0305","0,25","-0,00111262","1,0305"
"0,26","0,01176198","1,08075","0,26","-0,0003178914","1,08075","0,26","0,00445048","1,08075","0,26","0,006039937","1,08075","0,26","0,004609426","1,08075","0,26","0,002066294","1,08075","0,26","0,001430511","1,08075","0,26","0,003814697","1,08075","0,26","0,002861023","1,08075"
"0,27","0,01207987","1,130625","0,27","-0,00111262","1,13075","0,27","0,002543132","1,13075","0,27","0,007629395","1,13075","0,27","0,005404154","1,13075","0,27","0,001748403","1,13075","0,27","0,0009536743","1,13075","0,27","0,0006357829","1,13075","0,27","0,004927317","1,13075"
"0,28","0,01335144","1,180875","0,28","0,001271566","1,180875","0,28","0,002543132","1,180875","0,28","0,006516775","1,180875","0,28","0,008106232","1,180875","0,28","0,002861023","1,180875","0,28","0,002543132","1,180875","0,28","0,0004768372","1,180875","0,28","0,007311503","1,180875"
"0,29","0,01239777","1,230875","0,29","0,0009536743","1,230875","0,29","0,00222524","1,23075","0,29","0,005722046","1,23075","0,29","0,009695689","1,23075","0,29","0,00222524","1,230875","0,29","0,005404154","1,230875","0,29","0,001271566","1,230875","0,29","0,009695689","1,230875"
"0,3","0,01096725","1,281","0,3","0,0001589457","1,281","0,3","-0,0003178914","1,281","0,3","0,005404154","1,281","0,3","0,009377797","1,281","0,3","0,001748403","1,281","0,3","0,005404154","1,281","0,3","-0,0006357829","1,281","0,3","0,00778834","1,280875"
"0,31","0,01255671","1,331125","0,31","0,002543132","1,331125","0,31","-0,001430511","1,331","0,31","0,005245209","1,331125","0,31","0,008583069","1,331","0,31","0,002861023","1,331","0,31","0,005245209","1,331","0,31","-0,0003178914","1,331","0,31","0,005722046","1,331"
"0,32","0,0128746","1,381","0,32","0,004927317","1,381125","0,32","0,0006357829","1,381125","0,32","0,006198883","1,381125","0,32","0,006993612","1,381125","0,32","0,003019969","1,381125","0,32","0,006993612","1,381125","0,32","0,003655751","1,381125","0,32","0,006993612","1,381125"
"0,33","0,01080831","1,431","0,33","0,004132589","1,431","0,33","0","1,431","0,33","0,008106232","1,431","0,33","0,006039937","1,431","0,33","0,002543132","1,431125","0,33","0,007629395","1,431","0,33","0,00445048","1,431","0,33","0,007629395","1,431"
"0,34","0,01017253","1,48125","0,34","0,002543132","1,481125","0,34","-0,0007947286","1,48125","0,34","0,00778834","1,481125","0,34","0,006834666","1,481125","0,34","0,001748403","1,481125","0,34","0,005245209","1,481125","0,34","0,001748403","1,48125","0,34","0,00445048","1,481125"
"0,35","0,00890096","1,531125","0,35","0,001271566","1,531125","0,35","0,004132589","1,531125","0,35","0,006516775","1,531125","0,35","0,006198883","1,531125","0,35","0,0004768372","1,531125","0,35","0,00445048","1,531125","0,35","0,001271566","1,53125","0,35","0,001748403","1,531"
"0,36","0,006993612","1,58125","0,36","0,001430511","1,58125","0,36","0,006834666","1,58125","0,36","0,006993612","1,58125","0,36","0,005245209","1,58125","0,36","-0,0006357829","1,58125","0,36","0,006039937","1,58125","0,36","0,003019969","1,58125","0,36","0,001748403","1,58125"
"0,37","0,00890096","1,631125","0,37","0,00445048","1,631125","0,37","0,004132589","1,631","0,37","0,007629395","1,631125","0,37","0,005245209","1,631125","0,37","0,0004768372","1,631125","0,37","0,006516775","1,631","0,37","0,002543132","1,631","0,37","0,00222524","1,631125"
