"1 _ 1",,,"1 _ 2",,,"1 _ 3",,,"1 _ 4",,,"1 _ 5",,,"1 _ 6",,,"1 _ 7",,,"1 _ 8",,,"1 _ 9",,,"1 _ 10",,,"1 _ 11",,,"1 _ 12",,,"1 _ 13",,,"1 _ 14",,,"1 _ 15",,,"1 _ 16",,,"1 _ 17",,
"Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie","Czas","Si³a","Przemieszczenie"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0,1","0,1134872","0,275375","0,1","0,1238187","0,27525","0,1","0,1031558","0,275375","0,1","0,351429","0,275375","0,1","-0,02845128","0,275375","0,1","0,09234747","0,27525","0,1","0,3355344","0,275375","0,1","-0,04673004","0,27525","0,1","0,09155273","0,27525","0,1","0,08122126","0,27525","0,1","0,08312861","0,27525","0,1","0,1479785","0,275375","0,1","0,1352628","0,27525","0,1","0,09552637","0,27525","0,1","0,07963181","0,27525","0,1","0,08249283","0,27525","0,1","0,09393692","0,275375"
"0,11","0,1591047","0,32625","0,11","0,163873","0,32625","0,11","0,1443227","0,32625","0,11","0,4256566","0,3265","0,11","0,01637141","0,326375","0,11","0,1324018","0,326375","0,11","0,4134178","0,326375","0,11","-0,008265178","0,326125","0,11","0,1333555","0,326375","0,11","0,1212756","0,326375","0,11","0,1225471","0,32625","0,11","0,1916885","0,32625","0,11","0,1761119","0,326125","0,11","0,1336734","0,326375","0,11","0,1217524","0,326375","0,11","0,1225471","0,32625","0,11","0,134786","0,326375"
"0,12","0,1840591","0,37675","0,12","0,1940727","0,376875","0,12","0,1753171","0,37675","0,12","0,4777908","0,377","0,12","0,04069011","0,37675","0,12","0,1606941","0,37675","0,12","0,4727046","0,377","0,12","0,01796087","0,376875","0,12","0,1595815","0,37675","0,12","0,1459122","0,37675","0,12","0,146389","0,376875","0,12","0,2206167","0,37675","0,12","0,2017021","0,376875","0,12","0,1570384","0,37675","0,12","0,1468658","0,37675","0,12","0,1498858","0,37675","0,12","0,1614888","0,376875"
"0,13","0,1524289","0,4275","0,13","0,169913","0,42725","0,13","0,1500448","0,427375","0,13","0,494957","0,4275","0,13","0,006993612","0,4275","0,13","0,1331965","0,4275","0,13","0,4844666","0,427625","0,13","-0,009059906","0,4275","0,13","0,1324018","0,4275","0,13","0,1174609","0,4275","0,13","0,1157125","0,427375","0,13","0,1977285","0,4275","0,13","0,1778603","0,4275","0,13","0,1281102","0,4275","0,13","0,1177788","0,4275","0,13","0,1198451","0,427375","0,13","0,1336734","0,4275"
"0,14","0,1002947","0,478125","0,14","0,1182556","0,477875","0,14","0,09520849","0,478125","0,14","0,5032222","0,478","0,14","-0,04927317","0,478","0,14","0,07756551","0,478","0,14","0,4893939","0,478125","0,14","-0,06389618","0,47775","0,14","0,08153915","0,478125","0,14","0,06421407","0,478125","0,14","0,06055832","0,478125","0,14","0,15227","0,478","0,14","0,1301765","0,477875","0,14","0,07247925","0,478","0,14","0,06691615","0,478","0,14","0,06691615","0,478","0,14","0,08042654","0,478125"
"0,15","0,07279714","0,528375","0,15","0,08471807","0,5285","0,15","0,0594457","0,528375","0,15","0,5178452","0,528625","0,15","-0,08583069","0,528375","0,15","0,04196167","0,528375","0,15","0,5207062","0,5285","0,15","-0,1012484","0,52825","0,15","0,0483195","0,528375","0,15","0,02717972","0,528375","0,15","0,02320608","0,528375","0,15","0,1238187","0,528375","0,15","0,09870529","0,52825","0,15","0,03242493","0,52825","0,15","0,03480911","0,528375","0,15","0,03465017","0,528375","0,15","0,04545848","0,528375"
"0,16","0,06532669","0,578625","0,16","0,07247925","0,57875","0,16","0,04704793","0,578625","0,16","0,5393028","0,5790001","0,16","-0,102361","0,578625","0,16","0,0298818","0,578625","0,16","0,5628268","0,578875","0,16","-0,1174609","0,57875","0,16","0,03274282","0,578625","0,16","0,01096725","0,578625","0,16","0,00778834","0,5785","0,16","0,114282","0,578625","0,16","0,08710226","0,57875","0,16","0,0149409","0,5785","0,16","0,020504","0,578625","0,16","0,01764297","0,578625","0,16","0,03083547","0,578625"
"0,17","0,05817413","0,6291251","0,17","0,06691615","0,628875","0,17","0,04355113","0,6291251","0,17","0,5660057","0,629","0,17","-0,1104673","0,6291251","0,17","0,0243187","0,6291251","0,17","0,6041527","0,62925","0,17","-0,1250903","0,629","0,17","0,02559026","0,62925","0,17","0,00445048","0,6291251","0,17","0,002066294","0,6291251","0,17","0,1134872","0,6291251","0,17","0,08440018","0,629","0,17","0,009377797","0,6291251","0,17","0,0128746","0,6291251","0,17","0,005404154","0,6291251","0,17","0,02447764","0,6291251"
"0,18","0,0538826","0,6793751","0,18","0,06771088","0,6793751","0,18","0,04736583","0,6792501","0,18","0,5923907","0,679625","0,18","-0,1107852","0,6792501","0,18","0,0240008","0,6792501","0,18","0,6502469","0,6795","0,18","-0,1250903","0,679125","0,18","0,02765656","0,6792501","0,18","0,004132589","0,6792501","0,18","0,001430511","0,6793751","0,18","0,1204809","0,6792501","0,18","0,08964539","0,6792501","0,18","0,01017253","0,6793751","0,18","0,01366933","0,6793751","0,18","0,005722046","0,6792501","0,18","0,02447764","0,6792501"
"0,19","0,05865097","0,7295001","0,19","0,07375082","0,72975","0,19","0,05340576","0,729625","0,19","0,6109874","0,729875","0,19","-0,1079241","0,729625","0,19","0,02686183","0,7295001","0,19","0,6944339","0,729875","0,19","-0,1214345","0,7295001","0,19","0,03306071","0,729625","0,19","0,00778834","0,729625","0,19","0,003655751","0,729625","0,19","0,1293818","0,7295001","0,19","0,09679794","0,729625","0,19","0,0128746","0,729625","0,19","0,01796087","0,729625","0,19","0,01335144","0,729625","0,19","0,02638499","0,729625"
