figure,liner,liner_label,sealant,side,side_label,dataset_file,replicate,total_replicates_in_file,valid_release_window,mean_release_cN_25mm,sd_trace_cN_25mm,n_samples_50_200mm,disp_min_used_mm,disp_max_used_mm,peak_count_1p4cN,max_abs_residual_cN_25mm,noise_std_cN_25mm,noise_max_abs_cN_25mm,noise_samples,instrument_peak_hz,filter_cutoff_hz
2,dolpap,Dolpap,U2E,external,outer,20250602_U2E_dolpap_external.csv,1_10,10,1,7.393331,0.227727,3000,50.031000,199.981100,0,0.636276,0.054384,0.146068,80,5.000000,4.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_1,10,1,8.945193,0.572773,3000,50.031000,199.981000,0,0.525442,0.056109,0.129228,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_2,10,1,7.448929,0.110651,3000,50.031000,199.981000,0,0.305904,0.060899,0.142643,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_3,10,1,8.287211,0.306050,3000,50.031000,199.981000,0,0.266350,0.081042,0.233316,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_4,10,1,7.521741,0.224408,3000,50.031000,199.981000,0,0.533588,0.055772,0.128917,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_5,10,1,7.754651,0.202798,3000,50.031000,199.981000,0,0.285498,0.044769,0.101374,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_6,10,1,9.069029,0.264701,3000,50.031000,199.981100,0,0.401007,0.112563,0.239758,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_7,10,1,8.418088,0.204376,3000,50.031000,199.981100,0,0.318188,0.078968,0.205977,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_8,10,1,7.090086,0.161899,3000,50.031000,199.981000,0,0.519287,0.063722,0.160033,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_9,10,1,6.968781,0.133239,3000,50.031000,199.981000,0,0.254601,0.046517,0.115013,80,6.250000,5.000000
2,dolpap,Dolpap,U2E,internal,inner,20250602_U2E_dolpap_internal.csv,1_10,10,1,7.759783,0.347921,3000,50.031000,199.981000,0,1.030814,0.059028,0.149217,80,6.250000,5.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_1,10,1,4.948653,0.168299,3000,50.031250,199.981300,0,0.599034,0.096372,0.273751,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_2,10,1,5.365400,0.587308,3000,50.031250,199.981300,1,2.886556,0.058486,0.121256,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_3,10,1,5.667264,0.391107,3000,50.031250,199.981300,0,0.721525,0.049267,0.134647,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_4,10,1,5.281278,0.299698,3000,50.031250,199.981300,0,1.149236,0.083036,0.219291,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_5,10,1,5.306060,0.099226,3000,50.031250,199.981400,0,0.232133,0.050800,0.135081,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_6,10,1,5.913768,0.263807,3000,50.031250,199.981300,0,0.458680,0.059075,0.153955,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_7,10,1,5.119115,0.177218,3000,50.031250,199.981300,0,0.721492,0.057845,0.144489,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_8,10,1,5.375593,0.218371,3000,50.031250,199.981400,0,0.520193,0.076218,0.163888,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_9,10,1,5.395159,1.660758,1978,50.031250,148.842400,1,9.331162,0.060367,0.139833,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,external,outer,20250430_T1E_dolpap_external.csv,1_10,10,1,5.357288,0.572253,3000,50.031250,199.981300,1,3.391403,0.060950,0.177899,80,7.500000,6.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_1,10,1,6.228631,0.842681,2363,50.031250,168.054100,5,4.406477,0.051337,0.128187,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_2,10,1,5.782248,0.272136,3000,50.031250,199.981300,0,0.402236,0.061873,0.134503,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_3,10,1,5.629757,0.933090,2036,50.031250,151.739800,1,4.920598,0.065379,0.167945,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_4,10,1,7.002705,0.460371,3000,50.031250,199.981300,0,0.570287,0.064467,0.150852,80,5.000000,4.000000
3,dolpap,Dolpap,T1E,internal,inner,20250505_T1E_dolpap_internal.csv,1_5,10,1,4.488181,2.517464,2019,50.031380,150.867400,1,6.026907,0.081608,0.296598,80,5.000000,4.000000
