,sum_sq,df,F,PR(>F)
C(sealant),42.960825385008576,6.0,67.82839511511551,2.272065634532565e-57
C(liner_label),53.29349069878011,2.0,252.42615185708235,7.922245061629402e-71
C(side_label),6.116069903527292,1.0,57.93788209379387,2.0967472398870784e-13
C(sealant):C(liner_label),14.28486890500146,12.0,11.276782086619042,1.9767476660277302e-19
C(liner_label):C(side_label),3.846120753894165,2.0,18.21726159711635,2.752865176111694e-08
C(sealant):C(side_label),15.367327281729704,6.0,24.262595920519427,2.192926404855348e-24
Residual,40.74713982364255,386.0,,
