metric,factor,H,p
mean_release_cN_25mm,sealant,105.88768283656783,1.478375596828707e-20
mean_release_cN_25mm,liner_label,220.55502714007844,1.2796298976680811e-48
mean_release_cN_25mm,side_label,4.536211218699938,0.03318496479660982
peaks_1.4cN,sealant,18.509232178482193,0.0050779750163509815
peaks_1.4cN,liner_label,12.958196877589641,0.0015351941270667323
peaks_1.4cN,side_label,6.969048681037754,0.008293157470306498
