,sum_sq,df,F,PR(>F)
C(sealant),47.74433585901513,6.0,8.276526146006386,1.867093148360705e-08
C(liner_label),30.714667542094073,2.0,15.973250715772704,2.137025843251669e-07
C(side_label),10.996416986212662,1.0,11.437436218720737,0.0007918210841663791
C(sealant):C(liner_label),74.04517457916303,12.0,6.417900808168156,1.8915321220227728e-10
C(liner_label):C(side_label),13.293079233355831,2.0,6.913103880679274,0.0011198372027029374
C(sealant):C(side_label),96.8987052830686,6.0,16.797482954997534,2.7689030723999762e-17
Residual,378.80764619926185,394.0,,
