sealant,liner,side,file,replicate,mean_release_cN_25mm,sd_trace_cN_25mm,noise_std_cN_25mm,noise_max_abs_cN_25mm,noise_samples,instrument_peak_hz,filter_cutoff_hz,peaks_0.5cN,max_residual_0.5cN_context,peaks_1cN,max_residual_1cN_context,peaks_1.4cN,max_residual_1.4cN_context,peaks_2cN,max_residual_2cN_context,peaks_3cN,max_residual_3cN_context,liner_label,side_label
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_1,6.187826142556243,0.35177281803300275,0.059667890344573274,0.13514933347752253,80,8.749999999999993,6.999999999999995,11,1.1572072378808043,1,1.1572072378808043,0,1.1572072378808043,0,1.1572072378808043,0,1.1572072378808043,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_2,6.1474188096705005,1.083650503967157,0.05897829598290495,0.14537149165981023,80,8.749999999999993,6.999999999999995,31,8.622077738192933,2,8.622077738192933,2,8.622077738192933,2,8.622077738192933,1,8.622077738192933,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_3,6.975492078432769,0.31668100354169815,0.06199616763499985,0.13231271422058924,80,8.749999999999993,6.999999999999995,12,1.4653775777748665,2,1.4653775777748665,1,1.4653775777748665,0,1.4653775777748665,0,1.4653775777748665,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_4,6.724793572814915,0.5123849914798518,0.1360995409718691,0.4415297821537829,80,8.749999999999993,6.999999999999995,11,1.3114648467775838,1,1.3114648467775838,0,1.3114648467775838,0,1.3114648467775838,0,1.3114648467775838,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_5,5.063297871179827,0.2980403597457795,0.1074303996564098,0.23590381440454986,70,8.749999999999993,6.999999999999995,1,1.6001359322020792,1,1.6001359322020792,1,1.6001359322020792,0,1.6001359322020792,0,1.6001359322020792,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_6,7.267196212825941,0.6354975521621333,0.05950350609353223,0.18449835466520353,80,8.749999999999993,6.999999999999995,19,3.1926902081934467,6,3.1926902081934467,4,3.1926902081934467,2,3.1926902081934467,1,3.1926902081934467,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_7,5.916204713530608,0.29072181117021945,0.05524497304546719,0.15735702149125494,80,8.749999999999993,6.999999999999995,4,0.8471978146865261,0,0.8471978146865261,0,0.8471978146865261,0,0.8471978146865261,0,0.8471978146865261,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_8,5.771445072399555,1.6611801115544416,0.08479970603347398,0.24759180756386556,68,8.749999999999993,6.999999999999995,6,4.5622256710054465,3,4.5622256710054465,3,4.5622256710054465,2,4.5622256710054465,1,4.5622256710054465,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_9,,,0.044377980303282244,0.10669553872055121,21,8.749999999999993,6.999999999999995,0,,0,,0,,0,,0,,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_10,6.871804859665328,1.7338740009428029,0.0668196757375862,0.13982672021279896,80,8.749999999999993,6.999999999999995,18,15.198618051739404,11,15.198618051739404,10,15.198618051739404,5,15.198618051739404,1,15.198618051739404,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_11,6.52825888299029,0.33301958334264975,0.06993482210247723,0.16477198751711472,80,8.749999999999993,6.999999999999995,4,1.0778590817188294,1,1.0778590817188294,0,1.0778590817188294,0,1.0778590817188294,0,1.0778590817188294,Crosil 42,outer
C1E,crosil42,external,20250331_C1E_crosil42_external.csv,1_12,6.569132343001876,0.8697792290021711,0.05878304014430472,0.13660884920877325,80,8.749999999999993,6.999999999999995,28,6.164143579486608,3,6.164143579486608,3,6.164143579486608,3,6.164143579486608,3,6.164143579486608,Crosil 42,outer
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_1,4.890285684576636,1.1734532547112388,0.07348942900432831,0.18714728191844718,80,16.736111111111097,13.388888888888879,0,0.4009025733284391,0,0.4009025733284391,0,0.4009025733284391,0,0.4009025733284391,0,0.4009025733284391,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_2,5.12314143477447,0.44372757632113735,0.0608351439256873,0.14003001057225645,80,16.736111111111097,13.388888888888879,0,0.44813902720829757,0,0.44813902720829757,0,0.44813902720829757,0,0.44813902720829757,0,0.44813902720829757,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_3,4.670746845314948,0.2682640536247309,0.10510119924872342,0.3165180894308447,78,16.736111111111097,13.388888888888879,2,0.5217464237576852,0,0.5217464237576852,0,0.5217464237576852,0,0.5217464237576852,0,0.5217464237576852,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_4,5.622296761588165,0.3629496798214686,0.05933438561176955,0.14725784537401188,80,16.736111111111097,13.388888888888879,4,1.5308066996860374,2,1.5308066996860374,1,1.5308066996860374,0,1.5308066996860374,0,1.5308066996860374,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_5,4.083162471614946,0.3410221127439478,0.12302241001384809,0.33363801386278,77,16.736111111111097,13.388888888888879,2,1.076499619943673,1,1.076499619943673,0,1.076499619943673,0,1.076499619943673,0,1.076499619943673,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_6,3.35046735560351,0.11040392585175163,0.045885087278217,0.1159275784569664,40,16.736111111111097,13.388888888888879,0,0.3333267428039889,0,0.3333267428039889,0,0.3333267428039889,0,0.3333267428039889,0,0.3333267428039889,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_7,2.769112355226655,0.18398693542510416,0.059666072288772756,0.12137339402429372,36,16.736111111111097,13.388888888888879,0,0.39048480247830425,0,0.39048480247830425,0,0.39048480247830425,0,0.39048480247830425,0,0.39048480247830425,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_8,3.088986903016849,0.3310887443769334,0.06018587414598303,0.1287894283494292,27,16.736111111111097,13.388888888888879,2,1.3725566167934018,1,1.3725566167934018,0,1.3725566167934018,0,1.3725566167934018,0,1.3725566167934018,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_9,1.9801295757459005,0.4185418842870473,0.04968062552680487,0.10348931386882157,32,16.736111111111097,13.388888888888879,0,0.40943549757596,0,0.40943549757596,0,0.40943549757596,0,0.40943549757596,0,0.40943549757596,Crosil 42,inner
C1E,crosil42,internal,20250404_C1E_crosil42_internal.csv,1_10,3.0940109855478086,0.1522701522104047,0.06686971849380022,0.16817878001165848,43,16.736111111111097,13.388888888888879,0,0.29559580177601597,0,0.29559580177601597,0,0.29559580177601597,0,0.29559580177601597,0,0.29559580177601597,Crosil 42,inner
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_1,5.001603391049865,0.24996551953546717,0.06242440157955526,0.18448772103039543,80,8.749999999999993,6.999999999999995,5,0.8966604926643286,0,0.8966604926643286,0,0.8966604926643286,0,0.8966604926643286,0,0.8966604926643286,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_2,4.65253614303153,0.36630001113059235,0.06283848034623483,0.13254138496197948,80,8.749999999999993,6.999999999999995,0,0.3789865077620753,0,0.3789865077620753,0,0.3789865077620753,0,0.3789865077620753,0,0.3789865077620753,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_3,5.170814342886828,0.3472751387200615,0.08070094653337194,0.19891681721514765,80,8.749999999999993,6.999999999999995,2,0.5126028251498361,0,0.5126028251498361,0,0.5126028251498361,0,0.5126028251498361,0,0.5126028251498361,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_4,4.69243408428367,0.6654191045468324,0.07178508560729623,0.18435534254417005,80,8.749999999999993,6.999999999999995,25,3.413760051736893,5,3.413760051736893,2,3.413760051736893,2,3.413760051736893,1,3.413760051736893,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_5,4.921870808601727,0.43207256463310445,0.06642780445600319,0.14362690776942594,80,8.749999999999993,6.999999999999995,8,1.2560496845280302,3,1.2560496845280302,0,1.2560496845280302,0,1.2560496845280302,0,1.2560496845280302,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_6,4.894714861828718,0.33994677047315147,0.06773276671184016,0.16898486963942025,80,8.749999999999993,6.999999999999995,1,1.0267540630529384,1,1.0267540630529384,0,1.0267540630529384,0,1.0267540630529384,0,1.0267540630529384,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_7,4.503921459146505,0.331040051544803,0.11358671351967957,0.27373898460517504,80,8.749999999999993,6.999999999999995,0,0.3295023161207375,0,0.3295023161207375,0,0.3295023161207375,0,0.3295023161207375,0,0.3295023161207375,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_8,5.246563697650157,0.2575045240710279,0.062293355187351594,0.13443967071592977,80,8.749999999999993,6.999999999999995,8,0.9534763149386825,0,0.9534763149386825,0,0.9534763149386825,0,0.9534763149386825,0,0.9534763149386825,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_9,4.774660120427597,0.35921864777592094,0.05815573102667057,0.13510585743200504,80,8.749999999999993,6.999999999999995,0,0.37220744557562646,0,0.37220744557562646,0,0.37220744557562646,0,0.37220744557562646,0,0.37220744557562646,Dolpap,outer
C1E,dolpap,external,20250617_C1E_dolpap_external.csv,1_10,4.8347691996220075,0.11204836653099129,0.05465624514332554,0.13959428412259792,80,8.749999999999993,6.999999999999995,0,0.3107693562362984,0,0.3107693562362984,0,0.3107693562362984,0,0.3107693562362984,0,0.3107693562362984,Dolpap,outer
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_1,4.905359592958524,0.32887439277436425,0.06919922674425365,0.1691212373662421,80,8.749999999999993,6.999999999999995,0,0.4732980123888772,0,0.4732980123888772,0,0.4732980123888772,0,0.4732980123888772,0,0.4732980123888772,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_2,4.955296383614137,0.27944276604538065,0.053776450107537635,0.12284039685899499,80,8.749999999999993,6.999999999999995,0,0.355856875170648,0,0.355856875170648,0,0.355856875170648,0,0.355856875170648,0,0.355856875170648,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_3,4.805035703828556,0.17950892183521253,0.05296471298605633,0.167537925586483,80,8.749999999999993,6.999999999999995,0,0.317999741396878,0,0.317999741396878,0,0.317999741396878,0,0.317999741396878,0,0.317999741396878,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_4,4.857369850755109,0.3275430278505442,0.06755567869030213,0.1534498099587608,80,8.749999999999993,6.999999999999995,0,0.3993788093559193,0,0.3993788093559193,0,0.3993788093559193,0,0.3993788093559193,0,0.3993788093559193,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_5,5.003072979947573,0.31764822578017726,0.13405008241165187,0.3449213826299027,80,8.749999999999993,6.999999999999995,0,0.36808264811417496,0,0.36808264811417496,0,0.36808264811417496,0,0.36808264811417496,0,0.36808264811417496,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_6,5.089306671370461,0.4192685222898689,0.09184443349929404,0.2102743272369658,80,8.749999999999993,6.999999999999995,0,0.4540467226539009,0,0.4540467226539009,0,0.4540467226539009,0,0.4540467226539009,0,0.4540467226539009,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_7,5.061674539786744,0.4413910671512291,0.073656186133748,0.23453069660217116,80,8.749999999999993,6.999999999999995,1,0.5856261451650906,0,0.5856261451650906,0,0.5856261451650906,0,0.5856261451650906,0,0.5856261451650906,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_8,5.243420888938359,0.2637104368234143,0.06049626990190984,0.15210115290771142,80,8.749999999999993,6.999999999999995,0,0.32331734699315784,0,0.32331734699315784,0,0.32331734699315784,0,0.32331734699315784,0,0.32331734699315784,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_9,5.158143871593782,0.26086553095326975,0.0728875940806536,0.1807932860946159,80,8.749999999999993,6.999999999999995,0,0.39764457819323684,0,0.39764457819323684,0,0.39764457819323684,0,0.39764457819323684,0,0.39764457819323684,Dolpap,inner
C1E,dolpap,internal,20250617_C1E_dolpap_internal.csv,1_10,5.258092506222973,0.2889942682366968,0.0775474869881446,0.20952575746955934,80,8.749999999999993,6.999999999999995,0,0.4198046328301931,0,0.4198046328301931,0,0.4198046328301931,0,0.4198046328301931,0,0.4198046328301931,Dolpap,inner
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_1,13.722909267789579,2.0145166945462796,0.08307140945926832,0.20107718268460756,77,13.383152173913032,10.706521739130427,97,5.903037943462208,32,5.903037943462208,10,5.903037943462208,3,5.903037943462208,1,5.903037943462208,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_2,13.772153505864765,1.1239653947195245,0.1025079264671499,0.22302905367686046,50,13.383152173913032,10.706521739130427,64,1.782799019033296,11,1.782799019033296,3,1.782799019033296,0,1.782799019033296,0,1.782799019033296,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_3,13.080362334714007,0.8194775852665479,0.038155857146020454,0.08947622377622408,23,13.383152173913032,10.706521739130427,83,4.199524802864074,30,4.199524802864074,13,4.199524802864074,6,4.199524802864074,2,4.199524802864074,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_4,12.955218867609771,1.0923274113113364,0.08891556549040136,0.22590476674415572,60,13.383152173913032,10.706521739130427,102,2.9306332530013455,37,2.9306332530013455,14,2.9306332530013455,4,2.9306332530013455,0,2.9306332530013455,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_5,14.809114262279385,1.058664892199241,0.34336062700739234,0.9325488939474235,71,13.383152173913032,10.706521739130427,101,5.894500165647795,22,5.894500165647795,7,5.894500165647795,1,5.894500165647795,1,5.894500165647795,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_6,10.04929392878228,1.4293575507218585,0.041982997366640566,0.08754067929292973,18,13.383152173913032,10.706521739130427,128,2.1469844028743412,59,2.1469844028743412,16,2.1469844028743412,1,2.1469844028743412,0,2.1469844028743412,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_7,10.10009434934857,1.4224533706257805,0.08245004312758361,0.1808346519894508,32,13.383152173913032,10.706521739130427,121,1.8928338782118623,51,1.8928338782118623,14,1.8928338782118623,0,1.8928338782118623,0,1.8928338782118623,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_8,,,1.3080452614306435e-15,2.7755575615628914e-15,8,13.383152173913032,10.706521739130427,0,,0,,0,,0,,0,,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_9,11.87582893356829,1.0596403104156042,0.02719164811139725,0.04778273208273856,17,13.383152173913032,10.706521739130427,90,1.6895829766171113,20,1.6895829766171113,5,1.6895829766171113,0,1.6895829766171113,0,1.6895829766171113,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_10,,,0.07599544434889602,0.20764712216854964,51,13.383152173913032,10.706521739130427,0,,0,,0,,0,,0,,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_11,12.746011381226186,0.7755987274122372,0.28803861307117745,0.6034263280671261,80,13.383152173913032,10.706521739130427,101,1.6668982740137976,12,1.6668982740137976,5,1.6668982740137976,0,1.6668982740137976,0,1.6668982740137976,Rossella,outer
C1E,rossella,external,20250318_C1E_rossella_external.csv,1_12,11.677693374540645,0.49344923357274123,0.07829739420392824,0.13517506793944178,34,13.383152173913032,10.706521739130427,73,1.348091278927356,9,1.348091278927356,0,1.348091278927356,0,1.348091278927356,0,1.348091278927356,Rossella,outer
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_1,,,0.055996238094037656,0.13373792318792238,25,15.999999999999986,12.79999999999999,0,,0,,0,,0,,0,,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_2,10.584802505887856,1.231205318540842,0.05343174137212783,0.13925484283878534,61,15.999999999999986,12.79999999999999,95,5.603365209556071,36,5.603365209556071,16,5.603365209556071,8,5.603365209556071,1,5.603365209556071,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_3,,,0.03977333991181012,0.08238099200206378,33,15.999999999999986,12.79999999999999,0,,0,,0,,0,,0,,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_4,,,0.03877158126934962,0.0816900553150611,19,15.999999999999986,12.79999999999999,0,,0,,0,,0,,0,,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_5,,,0.029782637479134462,0.05445335978836209,15,15.999999999999986,12.79999999999999,0,,0,,0,,0,,0,,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_6,10.408488718315672,1.0558759924294807,0.03229191789781984,0.05634637566137822,14,15.999999999999986,12.79999999999999,70,1.276962565421,8,1.276962565421,0,1.276962565421,0,1.276962565421,0,1.276962565421,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_7,10.19090615407339,0.944341581278263,0.03091921936601906,0.08834277488656318,37,15.999999999999986,12.79999999999999,94,2.2943243214743783,49,2.2943243214743783,25,2.2943243214743783,2,2.2943243214743783,0,2.2943243214743783,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_8,,,,,0,15.999999999999986,12.79999999999999,0,,0,,0,,0,,0,,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_9,11.446176881654313,0.6665144272725486,0.06212487052630428,0.1642837896449159,80,15.999999999999986,12.79999999999999,90,1.9055656538458225,37,1.9055656538458225,15,1.9055656538458225,0,1.9055656538458225,0,1.9055656538458225,Rossella,inner
C1E,rossella,internal,20250318_C1E_rossella_internal.csv,1_10,10.107138745482395,0.5125847775745798,0.027525247723020542,0.05348682539682362,8,15.999999999999986,12.79999999999999,44,2.102390787192908,7,2.102390787192908,1,2.102390787192908,1,2.102390787192908,0,2.102390787192908,Rossella,inner
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_1,6.245289269611931,0.4552534547551439,0.06470737215153427,0.16883566737446332,80,8.749999999999993,6.999999999999995,0,0.46852965985122175,0,0.46852965985122175,0,0.46852965985122175,0,0.46852965985122175,0,0.46852965985122175,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_2,6.8279327564136985,0.9330019340948243,0.09374268156569254,0.21555226450813392,80,8.749999999999993,6.999999999999995,15,1.9057058338049604,3,1.9057058338049604,2,1.9057058338049604,0,1.9057058338049604,0,1.9057058338049604,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_3,6.486935081065706,0.6232154118544804,0.14248082391241765,0.5290206092281596,80,8.749999999999993,6.999999999999995,3,0.5824404389450644,0,0.5824404389450644,0,0.5824404389450644,0,0.5824404389450644,0,0.5824404389450644,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_4,5.816069833992177,0.4116574238521467,0.12765315219932888,0.2663387614759337,80,8.749999999999993,6.999999999999995,1,0.5467145274229264,0,0.5467145274229264,0,0.5467145274229264,0,0.5467145274229264,0,0.5467145274229264,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_5,7.742131913313978,1.2948517116549156,0.10940640158418957,0.2468849526753813,80,8.749999999999993,6.999999999999995,5,0.7450968742696171,0,0.7450968742696171,0,0.7450968742696171,0,0.7450968742696171,0,0.7450968742696171,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_6,6.087502709373121,1.469274580235966,0.05824097490829157,0.13303412773169423,80,8.749999999999993,6.999999999999995,1,0.8739106830333826,0,0.8739106830333826,0,0.8739106830333826,0,0.8739106830333826,0,0.8739106830333826,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_7,5.676429477465878,0.46406741861363504,0.07138870455482857,0.1554541145225907,80,8.749999999999993,6.999999999999995,1,0.5040016916165291,0,0.5040016916165291,0,0.5040016916165291,0,0.5040016916165291,0,0.5040016916165291,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_8,7.896748909260248,0.5398352238430446,0.09075479210887162,0.20757779916359503,80,8.749999999999993,6.999999999999995,3,0.8376400019536517,0,0.8376400019536517,0,0.8376400019536517,0,0.8376400019536517,0,0.8376400019536517,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_9,6.003267340704064,0.26409187829269853,0.06274853475895968,0.16904049094635543,80,8.749999999999993,6.999999999999995,1,0.6382165137379812,0,0.6382165137379812,0,0.6382165137379812,0,0.6382165137379812,0,0.6382165137379812,Crosil 42,outer
C1EN,crosil42,external,20250519_C1EN_crosil42_external.csv,1_10,5.663386978392601,0.7478560109940733,0.0926041937131411,0.22006453723680933,80,8.749999999999993,6.999999999999995,0,0.4667706968513957,0,0.4667706968513957,0,0.4667706968513957,0,0.4667706968513957,0,0.4667706968513957,Crosil 42,outer
C1EN,crosil42,internal,20250519_C1EN_crosil42_internal.csv,1_1,7.136431185125343,0.7587765235783377,0.07099735363427336,0.23072330273015726,80,8.749999999999993,6.999999999999995,18,1.5393158479977105,3,1.5393158479977105,2,1.5393158479977105,0,1.5393158479977105,0,1.5393158479977105,Crosil 42,inner
C1EN,crosil42,internal,20250519_C1EN_crosil42_internal.csv,1_2,6.6056487014204235,0.8903244965017252,0.06605153548725774,0.18889613679746725,80,8.749999999999993,6.999999999999995,5,0.6190001534968903,0,0.6190001534968903,0,0.6190001534968903,0,0.6190001534968903,0,0.6190001534968903,Crosil 42,inner
C1EN,crosil42,internal,20250519_C1EN_crosil42_internal.csv,1_3,11.512710897184855,0.9984062652335552,0.06885127673733754,0.14461279286180703,80,8.749999999999993,6.999999999999995,81,3.691744048402364,23,3.691744048402364,11,3.691744048402364,3,3.691744048402364,2,3.691744048402364,Crosil 42,inner
