sealant,liner_label,inner,outer,outer_minus_inner,outer_minus_inner_peak_mean
C1E,Crosil 42,3.867234037300989,6.365715505369805,2.4984814680688165,1.9
C1E,Dolpap,5.033677298901622,4.86938881085286,-0.1642884880487614,0.2
C1E,Rossella,10.547502601082725,12.478868020572348,1.931365419489623,1.5499999999999998
C1EN,Crosil 42,7.976494820988663,6.44456942695934,-1.5319253940293223,-2.0999999999999996
C1EN,Dolpap,6.550329704126379,7.4770824669955145,0.9267527628691354,-2.5999999999999996
C1EN,Rossella,15.027697135807495,11.705623124046907,-3.322074011760588,-9.1
T1E,Crosil 42,4.323856718464016,5.338712616527557,1.0148558980635407,1.1
T1E,Dolpap,6.01192883516703,5.373033698480835,-0.6388951366861946,-1.1
T1E,Rossella,8.976987295505532,9.385556674280839,0.4085693787753062,-11.5
T1EN,Crosil 42,8.449287342309223,8.449287342309223,0.0,0.0
T1EN,Dolpap,7.210819945492666,8.354731111246526,1.1439111657538596,0.09999999999999998
T1EN,Rossella,16.449651348204537,25.924933299721836,9.4752819515173,20.8
T2E,Crosil 42,4.569257491163336,8.323346718932976,3.75408922776964,6.545454545454546
T2E,Dolpap,7.042853829660866,6.997208157044035,-0.04564567261683106,-12.799999999999999
T2E,Rossella,10.778983756695064,10.49057073832898,-0.288413018366084,-8.2
T2EN,Crosil 42,8.555915075775193,8.287700938381699,-0.2682141373934943,6.8
T2EN,Dolpap,7.247926458474958,7.6205010351149385,0.3725745766399804,-0.5888888888888888
T2EN,Rossella,12.869017410422998,11.644242477654407,-1.2247749327685913,-9.200000000000001
U2E,Crosil 42,11.608841530290041,17.82765478664762,6.2188132563575795,30.799999999999997
U2E,Dolpap,7.926336535221087,8.38046054230761,0.4541240070865227,6.9
U2E,Rossella,10.045927892540178,238.44088372088405,228.39495582834388,42.199999999999996
